person,personLabel,parentLabel,linkcount
http://www.wikidata.org/entity/Q1360918,Ernst von Schiller,Friedrich Schiller,2
http://www.wikidata.org/entity/Q1671514,James Hickox,Anne V. Coates,2
http://www.wikidata.org/entity/Q4120464,Yang Yuehua,Mao Zedong,2
http://www.wikidata.org/entity/Q5707094,Arturo Alessandri Rodríguez,Arturo Alessandri,2
http://www.wikidata.org/entity/Q7422311,Sarah Franklin Bache,Benjamin Franklin,2
http://www.wikidata.org/entity/Q15053816,Francis Folger Franklin,Benjamin Franklin,2
http://www.wikidata.org/entity/Q16055134,Georg Pertz,Georg Heinrich Pertz,2
http://www.wikidata.org/entity/Q94755192,Therese Forster,Georg Forster,2
http://www.wikidata.org/entity/Q100268453,Martin Chemnitz,Martin Chemnitz,2
http://www.wikidata.org/entity/Q15435969,Johann Heinrich Mordtmann,Andreas David Mordtmann,2
http://www.wikidata.org/entity/Q1681028,Alexander Buttmann,Philipp Karl Buttmann,2
http://www.wikidata.org/entity/Q1298828,Otmár Szinnyei,József Szinnyei,2
http://www.wikidata.org/entity/Q1782391,Konrad Zacher,Julius Zacher,2
http://www.wikidata.org/entity/Q7525900,Sir Adam Ferguson,Adam Ferguson,2
http://www.wikidata.org/entity/Q2336553,Flip van Duyn,Annie M. G. Schmidt,2
http://www.wikidata.org/entity/Q16158940,Thorsten A Arwidsson,Adolf Ivar Arwidsson,2
http://www.wikidata.org/entity/Q24952602,Giuseppe Pedersoli,Bud Spencer,2
http://www.wikidata.org/entity/Q1079653,Christian Friedrich Reusch,Karl Daniel Reusch,2
http://www.wikidata.org/entity/Q28957277,Joseph Förstemann,Karl Eduard Förstemann,2
http://www.wikidata.org/entity/Q7030254,Nicolete Gray,Laurence Binyon,2
http://www.wikidata.org/entity/Q908899,László Donáth,Éva Bozóky,2
http://www.wikidata.org/entity/Q1001774,Jenő Fitz,József Fitz,2
http://www.wikidata.org/entity/Q1109197,Júlia Király,István Király,2
http://www.wikidata.org/entity/Q1123628,Péter Kárpáti,János Kárpáti,2
http://www.wikidata.org/entity/Q1298826,József Szinnyei,József Szinnyei,2
http://www.wikidata.org/entity/Q3588404,Émile Chasles,Philarète Chasles,2
http://www.wikidata.org/entity/Q5372281,Emily Mary Bowdler Sharpe,Richard Bowdler Sharpe,2
http://www.wikidata.org/entity/Q6244138,John Law,Edmund Law,2
http://www.wikidata.org/entity/Q7791735,Thomas Law,Edmund Law,2
http://www.wikidata.org/entity/Q26404923,Ewan Law,Edmund Law,2
http://www.wikidata.org/entity/Q1398119,Hermann Deecke,Ernst Deecke,2
http://www.wikidata.org/entity/Q6240664,Sigfrid Wieselgren,Peter Wieselgren,2
http://www.wikidata.org/entity/Q15439075,Petra Tschörtner,Heinz Dieter Tschörtner,2
http://www.wikidata.org/entity/Q17361906,Helga Kangro,Gustav Suits,2
http://www.wikidata.org/entity/Q20437864,Kálmán Szily,Kálmán Szily,2
http://www.wikidata.org/entity/Q21545919,"Janus Dousa, the son",Janus Dousa,2
http://www.wikidata.org/entity/Q23001764,Adalbert Herrmann,Friedrich Herrmann,2
http://www.wikidata.org/entity/Q23157406,Gábor Rózsa,György Rózsa,2
http://www.wikidata.org/entity/Q62504562,Dora Hanušová,Ignác Jan Hanuš,2
http://www.wikidata.org/entity/Q104426862,Ludwika Górecka,Samuel Linde,2
http://www.wikidata.org/entity/Q4892939,Bernard Bolingbroke Woodward,Samuel Woodward,2
http://www.wikidata.org/entity/Q5231277,David Bell,Idris Bell,2
http://www.wikidata.org/entity/Q5912923,Olof Kleberg,Tönnes Kleberg,2
http://www.wikidata.org/entity/Q6170353,Herman Schück,Adolf Schück,2
http://www.wikidata.org/entity/Q6230775,Martin Georg Wallenstråle,Georg Wallin,2
http://www.wikidata.org/entity/Q15220020,Sophie Tottie,Thomas Tottie,2
http://www.wikidata.org/entity/Q20732628,Arthur ap Gwynn,T. Gwynn Jones,2
http://www.wikidata.org/entity/Q28942545,Ana María Vicuña,José Miguel Vicuña,2
http://www.wikidata.org/entity/Q97689435,Clara Wallmark,Per Adam Wallmark,2
http://www.wikidata.org/entity/Q849128,Éva Braun,Róbert Braun,2
http://www.wikidata.org/entity/Q5816374,Jan Hult,Phillips Hult,2
